"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000125207.7",-6.1875581008411,3.99122490989002,-5.27380381348405,1.02023716366132e-06,0.00557865681090011,4.9822252938542
"ENSG00000162804.13",5.67920937817166,6.17967769732218,4.94492084632231,3.84652030280629e-06,0.0105163865078724,3.87822624142434
"ENSG00000105053.10",-5.49327001392519,4.68394592137612,-4.79874730273591,6.84732196293466e-06,0.0124803854977756,3.37132604933978
"ENSG00000148795.6",5.61162321571582,5.76595485976102,4.57634797651282,1.61908331607287e-05,0.0221328689307161,2.64843951906513
"ENSG00000135905.18",5.01241991793903,5.42971469346273,4.4107956012984,3.0298142446521e-05,0.0331340485795154,2.11978778639146
"ENSG00000214548.14",4.98540807469175,9.16720337671094,4.34200136448939,3.9165857412123e-05,0.0356931513882481,1.95858063165632
"ENSG00000140459.17",5.29779135063718,5.29315596090235,4.2965331070189,4.63517964834118e-05,0.0362073747387566,1.74356307743447
"ENSG00000149792.8",4.90600447728063,3.92248037297754,4.19968393032393,6.61399994556459e-05,0.045206689627934,1.44005887413296
"ENSG00000176407.17",-4.74912869136703,5.25653187201341,-4.13407705558052,8.39313183264248e-05,0.0485231329383329,1.25492757058205
"ENSG00000112972.14",4.97096449766636,4.72014381450029,4.11864793354029,8.8740184598268e-05,0.0485231329383329,1.20001137764193
"ENSG00000182287.13",4.79514918579757,4.09629229451926,3.99332423021608,0.000138904207491216,0.0640782844869636,0.81323129763987
"ENSG00000175745.11",4.67307578324686,3.50198967848595,3.98984771803789,0.000140625350007967,0.0640782844869636,0.798488150112536
"ENSG00000170445.12",4.5795131058035,4.37915428844607,3.8293679296707,0.000246566868330905,0.0940381749998185,0.334218029572299
"ENSG00000116191.17",-4.30526855835962,5.74210416551957,-3.82510674454066,0.000250223863600329,0.0940381749998185,0.344016114780582
"ENSG00000198932.12",4.51432295427512,4.18692677379126,3.81627526675341,0.00025796865855839,0.0940381749998185,0.299286898059394
"ENSG00000100320.22",4.45338082018541,6.30426381868534,3.79543515890858,0.000277161467537668,0.0947199315309981,0.249270671166285
"ENSG00000084674.14",4.56916900714906,4.07236290833764,3.7350266992779,0.000340791166873572,0.0992250752432635,0.0608716868748473
"ENSG00000162407.8",4.71425828535406,5.25891129202957,3.7166094701969,0.000362809506261349,0.0992250752432635,0.0156205106681169
"ENSG00000182534.13",4.42724882112141,5.49102595639811,3.70935377292033,0.00037185028697706,0.0992250752432635,-0.0023388663986621
"ENSG00000147955.16",4.56382859478005,4.31859916093311,3.69254568129799,0.000393624046046313,0.0992250752432635,-0.0574504993850757
"ENSG00000112320.11",4.46277193272303,4.12150513368418,3.67576049316901,0.000416574666894473,0.0992250752432635,-0.101090935348575
"ENSG00000166839.16",4.49650691662063,4.2437462815474,3.66356999325266,0.000434034264488959,0.0992250752432635,-0.134767644491311
"ENSG00000017427.15",4.40893759294772,5.52992695279703,3.66313503354985,0.000434669896308195,0.0992250752432635,-0.138143894804243
"ENSG00000162733.16",4.46801396032281,4.90565208909839,3.66255694602204,0.00043551605812698,0.0992250752432635,-0.139594118482739
"ENSG00000185559.13",4.52388522974209,5.8457279164707,3.63338603130496,0.000480305417942871,0.105052401012465,-0.219009125339674
"ENSG00000104332.11",4.67606765686368,5.6707404737771,3.61997782356284,0.000502328805730789,0.105643611912921,-0.255434238079374
"ENSG00000196998.17",4.32327378571163,4.74459399255883,3.60846786444282,0.000521995386282169,0.105713732303367,-0.290093227368418
"ENSG00000058056.8",4.56584861896314,4.96093142447407,3.56166724446074,0.000609738735106873,0.118590891904436,-0.415528478389046
"ENSG00000162814.10",-4.52810799938955,3.87423296415955,-3.55227406856982,0.000628956815147884,0.118590891904436,-0.450885667729361
"ENSG00000134201.10",4.34569939896131,4.35040364590846,3.53116848783532,0.000674250779881427,0.122840678797305,-0.502644906280883
"ENSG00000183963.18",4.38882266670048,4.43067269019236,3.51837749736523,0.000703185220400063,0.122840678797305,-0.538940294132317
"ENSG00000204291.10",4.25349346039193,5.0090931604654,3.50902952877753,0.000725069775493672,0.122840678797305,-0.559924222545127
